LOGNAME,1823514,0007/0001.csv
GYRS,2678689,100000000
ACC,2682166,74176,-219112,977952
MSG,2682208,Gyroscope not ready
GYRS,2682213,100000000
ACC,2685703,82960,-227408,988200
MSG,2685745,Gyroscope not ready
GYRS,2685750,100000000
ACC,2689283,77104,-227408,979416
MSG,2689325,Gyroscope not ready
GYRS,2689330,100000000
ACC,2692817,73200,-218624,979904
MSG,2692859,Gyroscope not ready
GYRS,2692863,100000000
ACC,2696354,73200,-222528,986248
MSG,2696396,Gyroscope not ready
GYRS,2696400,100000000
ACC,2699893,72712,-226432,977952
MSG,2699935,Gyroscope not ready
GYRS,2699939,100000000
ACC,2703473,75152,-218624,984296
MSG,2703515,Gyroscope not ready
GYRS,2703520,100000000
ACC,2707007,74664,-228384,973072
MSG,2707049,Gyroscope not ready
GYRS,2707053,100000000
ACC,2710539,77104,-221552,985272
MSG,2710581,Gyroscope not ready
GYRS,2710586,100000000
ACC,2714071,76128,-218624,976976
MSG,2714112,Gyroscope not ready
GYRS,2714117,100000000
ACC,2717603,70272,-215696,984784
MSG,2717644,Gyroscope not ready
GYRS,2717663,100000000
ACC,2721112,74176,-219600,984296
MSG,2721154,Gyroscope not ready
GYRS,2721159,100000000
ACC,2724596,77104,-228384,977952
MSG,2724637,Gyroscope not ready
GYRS,2724642,100000000
ACC,2728079,71248,-217648,982344
MSG,2728121,Gyroscope not ready
GYRS,2728125,100000000
ACC,2731563,74664,-222528,981368
MSG,2731604,Gyroscope not ready
GYRS,2731609,100000000
ACC,2735105,73200,-223504,982832
MSG,2735147,Gyroscope not ready
GYRS,2735152,100000000
ACC,2738588,75152,-220576,976976
MSG,2738644,Gyroscope not ready
GYRS,2738649,100000000
ACC,2742698,81008,-221552,985760
MSG,2742740,Gyroscope not ready
GYRS,2742744,100000000
ACC,2746278,75640,-216672,978928
MSG,2746320,Gyroscope not ready
GYRS,2746324,100000000
ACC,2749901,83936,-218624,980880
MSG,2749943,Gyroscope not ready
GYRS,2749947,100000000
ACC,2753481,77104,-216672,974048
MSG,2753523,Gyroscope not ready
GYRS,2753527,100000000
ACC,2757061,79056,-220576,977952
MSG,2757103,Gyroscope not ready
GYRS,2757121,100000000
ACC,2760619,80032,-218624,980392
MSG,2760661,Gyroscope not ready
GYRS,2760665,100000000
ACC,2764163,74176,-220576,975024
MSG,2764205,Gyroscope not ready
GYRS,2764210,100000000
ACC,2767750,79056,-222528,982344
MSG,2767791,Gyroscope not ready
GYRS,2767796,100000000
ACC,2771290,74176,-215696,977464
MSG,2771332,Gyroscope not ready
GYRS,2771337,100000000
ACC,2774834,71736,-220576,982344
MSG,2774876,Gyroscope not ready
GYRS,2774880,100000000
ACC,2778377,80032,-227408,984296
MSG,2778433,Gyroscope not ready
GYRS,2778438,100000000
ACC,2781958,75152,-219600,983320
MSG,2782000,Gyroscope not ready
GYRS,2782005,100000000
ACC,2785502,83936,-227408,982344
MSG,2785543,Gyroscope not ready
GYRS,2785548,100000000
ACC,2789042,80032,-220576,979416
MSG,2789084,Gyroscope not ready
GYRS,2789089,100000000
ACC,2792586,80032,-218624,979904
MSG,2792627,Gyroscope not ready
GYRS,2792632,100000000
ACC,2796129,81984,-226432,986736
MSG,2796171,Gyroscope not ready
GYRS,2796176,100000000
ACC,2799712,81984,-225456,982344
MSG,2799754,Gyroscope not ready
GYRS,2799759,100000000
ACC,2803250,82960,-218624,988688
MSG,2803292,Gyroscope not ready
GYRS,2803297,100000000
ACC,2806794,81008,-218624,986736
MSG,2806835,Gyroscope not ready
GYRS,2806840,100000000
ACC,2810334,75152,-214232,978928
MSG,2810376,Gyroscope not ready
GYRS,2810380,100000000
ACC,2813921,74176,-218624,977952
MSG,2813962,Gyroscope not ready
GYRS,2813967,100000000
ACC,2817461,81984,-220576,981856
MSG,2817503,Gyroscope not ready
GYRS,2817522,100000000
ACC,2821001,71736,-216672,980880
MSG,2821043,Gyroscope not ready
GYRS,2821048,100000000
ACC,2824545,75152,-217648,976976
MSG,2824587,Gyroscope not ready
GYRS,2824591,100000000
ACC,2828083,76128,-218624,980880
MSG,2828125,Gyroscope not ready
GYRS,2828130,100000000
ACC,2831670,77104,-214720,988200
MSG,2831712,Gyroscope not ready
GYRS,2831717,100000000
ACC,2835282,81008,-211792,979904
MSG,2835324,Gyroscope not ready
GYRS,2835328,100000000
ACC,2838893,83936,-227408,986736
MSG,2838949,Gyroscope not ready
GYRS,2838954,100000000
ACC,2842435,80032,-217648,984296
MSG,2842477,Gyroscope not ready
GYRS,2842481,100000000
ACC,2846020,74176,-213744,988200
MSG,2846062,Gyroscope not ready
GYRS,2846067,100000000
ACC,2849568,73200,-217648,986736
MSG,2849610,Gyroscope not ready
GYRS,2849614,100000000
ACC,2853110,78080,-213256,987712
MSG,2853152,Gyroscope not ready
GYRS,2853157,100000000
ACC,2856654,78080,-216672,983320
MSG,2856696,Gyroscope not ready
GYRS,2856701,100000000
ACC,2860204,81008,-218624,978928
MSG,2860246,Gyroscope not ready
GYRS,2860251,100000000
ACC,2863794,75152,-216672,973072
MSG,2863836,Gyroscope not ready
GYRS,2863841,100000000
ACC,2867342,77104,-220576,981368
MSG,2867383,Gyroscope not ready
GYRS,2867388,100000000
ACC,2870889,71248,-227408,984784
MSG,2870931,Gyroscope not ready
GYRS,2870935,100000000
ACC,2874436,76128,-223504,976976
MSG,2874478,Gyroscope not ready
GYRS,2874483,100000000
ACC,2878027,79056,-216672,978928
MSG,2878068,Gyroscope not ready
GYRS,2878087,100000000
ACC,2881576,80032,-219600,984296
MSG,2881617,Gyroscope not ready
GYRS,2881622,100000000
ACC,2885118,81008,-220576,979904
MSG,2885159,Gyroscope not ready
GYRS,2885164,100000000
ACC,2888659,73688,-214720,980392
MSG,2888701,Gyroscope not ready
GYRS,2888706,100000000
ACC,2892202,79056,-222528,979904
MSG,2892243,Gyroscope not ready
GYRS,2892248,100000000
ACC,2895792,74176,-222528,979416
MSG,2895834,Gyroscope not ready
GYRS,2895839,100000000
ACC,2899340,80032,-222528,982344
MSG,2899395,Gyroscope not ready
GYRS,2899400,100000000
